####gene WT_1 WT_2 WT_3 CTCF_4 CTCF_5 CTCF_6 Med12_7 Med12_8 Smc1_9 Smc1_10
ERCC-00002 25451 19308 4774 6339 7156 17362 7007 20650 22093 42869
ERCC-00003 1607 1754 633 826 22 1950 38 5195 2636 9579
ERCC-00004 6013 6163 1568 2376 60 5666 63 17420 8129 35701
ERCC-00009 1041 833 207 261 134 790 57 1056 1037 1503
ERCC-00012 0 0 0 0 0 0 0 3 0 1
ERCC-00013 0 1 0 1 1 3 0 3 1 1
ERCC-00014 13 8 5 4 3 11 1 19 9 36
ERCC-00016 0 0 0 0 0 0 0 3 3 0
ERCC-00017 0 0 0 0 0 0 0 0 0 0
ERCC-00019 27 28 5 17 10 29 3 37 22 60
ERCC-00022 217 220 78 92 53 266 42 367 309 573
ERCC-00024 0 0 0 0 0 1 0 0 0 0
ERCC-00025 230 161 42 69 65 166 61 317 220 369
ERCC-00028 9 14 2 2 2 5 2 9 9 13
ERCC-00031 1 0 1 2 1 1 1 5 4 8
ERCC-00033 12 0 2 3 0 6 0 22 12 49
ERCC-00034 24 21 9 9 10 31 6 43 31 57
ERCC-00035 190 163 52 53 78 177 62 282 224 349
ERCC-00039 5 4 3 5 0 4 2 13 10 7
ERCC-00040 1 0 0 1 0 1 0 0 0 3
ERCC-00041 1 0 1 0 0 1 0 0 0 0
ERCC-00042 790 893 350 401 21 897 30 1492 1158 3261
ERCC-00043 1102 1080 234 395 6 837 5 3064 1251 6230
ERCC-00044 218 211 43 71 96 208 67 272 248 426
ERCC-00046 2991 2405 617 836 22 2298 25 4405 3175 10146
ERCC-00048 0 0 0 0 0 0 0 0 0 0
ERCC-00051 18 7 3 5 0 21 0 27 22 61
ERCC-00053 37 36 12 19 0 35 0 109 48 279
ERCC-00054 2 2 0 1 0 2 0 10 3 25
ERCC-00057 0 0 0 0 0 0 0 0 0 0
ERCC-00058 7 4 0 2 1 5 1 9 4 8
ERCC-00059 17 13 1 1 6 8 4 18 9 14
ERCC-00060 408 376 127 206 7 389 5 964 558 2793
ERCC-00061 0 0 0 0 0 1 0 0 0 0
ERCC-00062 80 104 36 46 2 114 0 339 172 649
ERCC-00067 5 1 0 0 0 4 0 4 3 3
ERCC-00069 3 7 1 3 2 5 0 3 4 12
ERCC-00071 68 65 18 25 25 46 41 114 68 156
ERCC-00073 0 1 0 0 0 1 0 0 1 1
ERCC-00074 18160 18515 5051 7506 115 17412 209 58730 24078 98531
ERCC-00075 0 0 0 0 0 0 0 0 0 0
ERCC-00076 173 127 56 55 68 134 69 194 213 288
ERCC-00077 2 4 0 0 0 0 0 2 2 11
ERCC-00078 64 53 15 21 14 47 14 106 60 109
ERCC-00079 74 50 18 17 23 44 9 118 63 175
ERCC-00081 0 0 0 0 0 1 0 0 0 0
ERCC-00083 0 0 0 0 0 1 0 0 0 1
ERCC-00084 50 42 10 14 6 33 12 84 48 79
ERCC-00085 11 3 3 3 0 2 0 7 7 19
ERCC-00086 0 0 0 0 0 0 0 2 0 2
ERCC-00092 530 396 116 120 144 349 157 438 489 858
ERCC-00095 179 194 70 71 7 175 7 413 239 799
ERCC-00096 30550 25400 7507 9484 10010 23207 11075 32044 29834 58973
ERCC-00097 0 0 0 0 0 0 0 0 0 6
ERCC-00098 0 0 0 0 0 0 0 0 0 0
ERCC-00099 33 38 8 18 1 32 2 73 37 140
ERCC-00104 1 2 1 0 0 0 0 3 0 4
ERCC-00108 1081 947 226 336 232 887 105 1276 1132 2024
ERCC-00109 0 1 0 0 0 1 0 3 2 1
ERCC-00111 841 805 292 336 184 798 140 1453 1039 2313
ERCC-00112 230 189 63 86 74 223 28 389 270 514
ERCC-00113 6326 5427 1535 2010 1643 5139 2600 8681 6765 11864
ERCC-00116 1590 1132 304 407 308 1166 209 2211 1445 2576
ERCC-00117 0 1 0 1 1 1 0 0 0 0
ERCC-00120 1 0 0 0 1 1 1 0 0 0
ERCC-00123 0 0 0 0 0 0 0 0 0 3
ERCC-00126 11 11 6 2 2 13 1 9 8 32
ERCC-00130 47243 42531 13814 17106 11997 42075 12721 97844 53134 125400
ERCC-00131 179 147 65 72 71 158 34 394 250 399
ERCC-00134 0 2 0 0 0 0 0 0 1 0
ERCC-00136 2269 2123 629 819 325 2177 155 6450 2757 8206
ERCC-00137 0 0 0 0 0 0 0 0 1 1
ERCC-00138 0 1 0 0 0 0 0 0 1 3
ERCC-00142 0 0 0 0 0 0 0 0 0 0
ERCC-00143 1 2 1 0 2 7 4 9 7 8
ERCC-00144 14 15 5 7 3 6 2 44 13 54
ERCC-00145 1149 940 288 392 150 950 73 1725 1197 3132
ERCC-00147 1 1 0 0 0 1 0 6 0 1
ERCC-00148 6 4 3 0 1 6 1 19 4 18
ERCC-00150 4 5 3 1 1 1 0 6 3 12
ERCC-00154 6 1 2 1 1 4 0 20 8 12
ERCC-00156 0 0 1 0 0 0 0 0 0 0
ERCC-00157 28 21 4 3 3 12 3 32 22 30
ERCC-00158 1 2 1 0 0 0 0 8 1 5
ERCC-00160 22 18 2 13 2 18 0 19 16 37
ERCC-00162 56 55 20 20 0 44 2 82 64 175
ERCC-00163 10 7 1 1 3 10 0 18 18 49
ERCC-00164 2 0 0 0 0 2 0 2 2 1
ERCC-00165 81 56 16 15 22 68 13 72 58 83
ERCC-00168 2 3 1 1 0 1 0 2 0 8
ERCC-00170 37 32 5 11 2 30 0 90 38 154
ERCC-00171 2913 2623 894 1072 793 2550 465 5910 3365 7237
uc007aet.1 2 4 1 7 0 8 0 12 43 130
uc007aeu.1 3 6 0 10 3 21 3 13 63 80
uc007aev.1 0 0 0 2 0 2 0 7 7 17
uc007aew.1 0 0 0 0 0 0 0 0 0 0
uc007aex.2 0 0 0 0 0 0 0 1 1 4
uc007aey.1 0 0 0 0 0 0 0 0 0 0
uc007aez.1 0 0 0 0 0 0 0 0 0 0
uc007afa.1 0 0 0 0 0 0 0 0 0 0
uc007afb.1 0 0 0 0 0 0 0 0 0 0
uc007afc.1 0 0 0 0 0 0 0 0 0 0
uc007afd.2 0 0 0 0 0 0 0 0 0 0
uc007afe.2 0 0 0 0 0 0 0 0 0 0
uc007aff.2 841 1318 167 313 182 756 128 1530 603 1640
uc007afg.1 11 28 7 9 4 25 5 40 25 51
uc007afh.1 1106 2332 395 598 103 1544 107 3398 1619 5576
uc007afi.2 0 0 0 0 0 0 0 0 0 0
uc007afk.2 3 4 0 0 0 1 3 0 1 3
uc007afl.2 0 2 0 0 0 0 0 0 0 2
uc007afm.1 4 14 0 2 0 8 0 20 17 41
uc007afn.1 773 1288 174 348 62 794 31 1474 1196 3093
uc007afo.1 0 0 0 0 0 0 0 0 0 0
uc007afp.1 0 0 0 0 0 0 0 0 0 0
uc007afq.1 0 0 0 0 0 1 0 3 1 0
uc007afr.2 68 132 18 44 16 75 15 88 126 206
uc007afs.1 8 15 4 11 1 14 0 30 28 85
uc007aft.2 0 0 0 0 0 0 0 0 0 0
uc007afu.2 0 0 0 0 0 0 0 0 0 0
uc007afv.2 1 3 0 3 0 0 0 3 6 18
uc007afw.1 0 0 0 0 0 0 0 0 0 0
uc007afx.1 0 0 0 0 0 0 0 0 0 0
uc007afy.1 0 0 0 0 0 0 0 0 0 0
uc007afz.1 0 0 0 0 0 0 0 0 0 0
uc007aga.1 0 0 0 0 0 0 0 0 0 0
uc007agb.1 52 90 18 23 2 85 1 245 93 281
uc007agc.1 0 0 0 0 0 0 0 0 0 0
uc007agd.1 7 12 1 6 0 16 1 32 42 107
uc007age.1 4 7 4 1 2 8 0 4 13 21
uc007agf.1 5 3 2 3 0 3 0 6 6 3
uc007agg.1 0 0 0 0 0 0 0 0 0 0
uc007agh.1 0 0 0 0 0 0 0 0 0 0
uc007agi.1 0 0 0 0 0 0 0 0 0 0
uc007agj.1 0 0 0 0 0 0 0 0 0 0
uc007agk.2 1134 2356 364 469 353 1148 622 1784 1124 1735
uc007agl.2 0 0 0 0 0 0 0 0 0 0
uc007agm.2 0 0 0 0 0 0 0 0 0 0
uc007agn.2 0 0 0 0 0 0 0 0 0 1
uc007ago.2 0 0 0 0 0 0 0 0 0 0
uc007agp.1 0 0 0 0 0 1 0 0 0 0
uc007agq.1 177 392 61 139 19 329 15 676 493 1619
uc007agr.1 79 193 32 58 4 129 0 401 251 894
uc007ags.1 424 1012 197 376 107 735 90 2128 1063 2140
uc007agt.1 5 4 0 2 6 2 0 2 2 17
uc007agu.1 0 0 0 0 0 0 0 0 0 0
uc007agv.1 0 0 0 0 0 0 0 0 0 0
uc007agw.1 0 0 0 0 0 0 0 0 1 1
uc007agx.1 1 2 0 0 1 0 1 0 0 0
uc007agy.1 1 1 0 0 1 0 0 2 0 0
uc007agz.1 3 6 1 5 5 4 1 7 4 4
uc007aha.1 284 581 77 175 41 449 64 1102 362 949
uc007ahb.1 0 0 0 0 0 0 0 0 0 0
uc007ahc.1 0 0 0 0 0 0 0 0 0 0
uc007ahd.1 0 0 0 0 0 0 0 0 0 0
uc007ahe.1 420 745 83 217 35 417 18 907 623 1831
uc007ahf.1 18 54 11 14 1 35 1 52 55 123
uc007ahg.1 11 27 5 11 1 27 0 35 46 124
uc007ahh.1 0 0 0 0 0 0 0 0 0 0
uc007ahi.1 4 4 1 2 0 2 0 3 8 14
uc007ahj.1 0 0 0 0 0 0 0 0 0 0
uc007ahk.1 0 1 0 0 0 0 0 0 0 0
uc007ahl.1 0 0 0 0 0 0 0 0 0 0
uc007ahm.1 0 0 0 0 0 0 0 0 0 0
uc007ahn.1 386 933 163 408 113 761 73 1367 1643 3929
uc007aho.1 6 7 3 5 1 16 0 23 16 40
uc007ahp.1 0 0 0 1 0 0 0 0 1 1
uc007ahq.1 0 0 0 0 0 0 0 0 0 0
uc007ahr.1 0 0 0 0 0 0 0 0 0 0
uc007ahs.2 104 215 36 83 21 146 17 294 196 484
uc007aht.1 0 2 0 0 0 0 0 0 0 3
uc007ahu.1 0 4 0 2 0 1 0 2 0 3
uc007ahv.2 0 0 0 2 0 1 0 8 6 29
uc007ahw.2 1 6 0 0 0 5 0 1 4 18
uc007ahx.2 0 0 0 0 0 0 0 0 0 0
uc007ahy.2 0 0 0 0 0 0 0 0 0 0
uc007ahz.1 0 0 0 0 0 0 0 0 0 1
uc007aia.2 0 0 0 0 0 0 0 0 0 0
uc007aib.2 0 0 0 0 0 0 0 0 0 0
uc007aic.1 4 10 1 0 0 2 0 19 10 18
uc007aid.1 0 0 0 0 0 0 0 0 0 0
uc007aie.1 0 0 0 0 0 0 0 0 0 0
uc007aif.1 37 50 13 61 15 147 3 120 160 315
uc007aig.1 0 0 0 0 0 0 0 0 0 0
uc007aih.1 0 0 0 0 0 0 0 0 0 0
uc007aii.1 0 0 0 0 0 0 0 0 0 0
uc007aik.1 201 405 89 58 45 136 7 68 71 108
uc007ail.1 0 0 0 0 0 0 0 0 0 0
